Title;Developer(s);Publisher(s);Release Year;Platform;Genre;Price
Golf;Nintendo;Nintendo;1985;NES;Sports;5
Kung Fu;Nintendo;Nintendo;1985;NES;Fighting;8
Baseball;Nintendo Research & Development 1;Nintendo;1985;NES;Sports;5
Clu Clu Land;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle;20
Duck Hunt;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter;10
Excitebike;Nintendo Research & Development 1;Nintendo;1985;NES;Racing;15
Gyromite;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer;2
Hogan's Alley;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter;5
Ice Climber;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer;15
Pinball;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle;5
Stack-Up;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle;2
Tennis;Nintendo Research & Development 1;Nintendo;1985;NES;Sports;2
Wild Gunman;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter;5
Wrecking Crew;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer;10
Super Mario Bros.;Nintendo Research & Development 4;Nintendo;1985;NES;Platformer;5
Commando;Capcom;Capcom;1986;NES;Shooter;10
Gradius;Konami;Konami;1986;NES;Shooter;8
Mach Rider;Nintendo;Nintendo;1986;NES;Racing;5
Balloon Fight;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;15
Donkey Kong;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;15
Donkey Kong 3;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;10
Donkey Kong Jr.;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;10
Gumshoe;Nintendo Research & Development 1;Nintendo;1986;NES;Shooter;5
Mario Bros.;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;10
Popeye;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;5
Urban Champion;Nintendo Research & Development 1;Nintendo;1986;NES;Fighting;8
Donkey Kong Jr. Math;Nintendo Research & Development 2;Nintendo;1986;NES;Platformer;5
Mega Man;Capcom;Capcom;1987;NES;Platventure;25
Section Z;Capcom;Capcom;1987;NES;Shooter;10
Trojan;Capcom;Capcom;1987;NES;Adventure;5
Castlevania;Konami;Konami;1987;NES;Platventure;35
Double Dribble;Konami;Konami;1987;NES;Sports;5
The Goonies II;Konami;Konami;1987;NES;Platformer;5
Rush'n Attack;Konami;Konami;1987;NES;Fighting;5
Stinger;Konami;Konami;1987;NES;Shooter;5
Top Gun;Konami;Konami;1987;NES;Shooter;10
Track & Field;Konami;Konami;1987;NES;Sports;5
Sky Kid;Namco;Sunsoft;1987;NES;Shooter;5
Kid Icarus;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure;25
Metroid;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure;30
Volleyball;Nintendo Research & Development 1;Nintendo;1987;NES;Sports;5
Mike Tyson's Punch-Out!!;Nintendo Research & Development 3;Nintendo;1987;NES;Fighting;20
Pro Wrestling;Nintendo Research & Development 3;Nintendo;1987;NES;Fighting;5
The Legend of Zelda;Nintendo Research & Development 4;Nintendo;1987;NES;Adventure;35
The 3-D Battles of WorldRunner;Square;Acclaim Entertainment;1987;NES;Platformer;5
Rad Racer;Square;Nintendo;1987;NES;Racing;10
1943: The Battle of Midway;Capcom;Capcom;1988;NES;Shooter;10
Bionic Commando;Capcom;Capcom;1988;NES;Shooter;5
Gun.Smoke;Capcom;Capcom;1988;NES;Shooter;5
Legendary Wings;Capcom;Capcom;1988;NES;Shooter;5
Joust;HAL Laboratory;HAL America;1988;NES;Fighting;8
Millipede;HAL Laboratory;HAL America;1988;NES;Shooter;8
Othello;HAL Laboratory;Acclaim Entertainment;1988;NES;Puzzle;2
Blades of Steel;Konami;Konami;1988;NES;Sports;2
Castlevania II: Simon's Quest;Konami;Konami;1988;NES;Adventure;15
Contra;Konami;Konami;1988;NES;Shooter;25
Jackal;Konami;Konami;1988;NES;Shooter;10
Life Force;Konami;Konami;1988;NES;Shooter;10
Metal Gear;Konami;Ultra Games;1988;NES;Adventure;15
Skate or Die!;Konami;Ultra Games;1988;NES;Sports;15
Galaga: Demons of Death;Namco;Bandai;1988;NES;Shooter;10
Pac-Man;Namco;Tengen;1988;NES;Puzzle;8
Xevious;Namco;Bandai;1988;NES;Shooter;8
Donkey Kong Classics;Nintendo;Nintendo;1988;NES;Platformer;20
Super Mario Bros./Duck Hunt;Nintendo;Nintendo;1988;NES;Platformer;2
Ice Hockey;Nintendo Research & Development 2;Nintendo;1988;NES;Sports;5
Super Mario Bros. 2;Nintendo Research & Development 4;Nintendo;1988;NES;Platformer;15
Zelda II: The Adventure of Link;Nintendo Research & Development 4;Nintendo;1988;NES;Adventure;20
DuckTales;Capcom;Capcom;1989;NES;Platformer;15
Mega Man 2;Capcom;Capcom;1989;NES;Platventure;40
Strider;Capcom;Capcom;1989;NES;Platventure;20
Willow;Capcom;Capcom;1989;NES;RPG;5
Dragon Warrior;Chunsoft;Nintendo;1989;NES;RPG;2
Adventures of Lolo;HAL Laboratory;HAL America;1989;NES;Puzzle;10
Air Fortress;HAL Laboratory;HAL America;1989;NES;Shooter;5
The Adventures of Bayou Billy;Konami;Konami;1989;NES;Adventure;5
Gyruss;Konami;Ultra Games;1989;NES;Shooter;8
Q*bert;Konami;Ultra Games;1989;NES;Puzzle;5
Teenage Mutant Ninja Turtles;Konami;Ultra Games;1989;NES;Platformer;2
Track & Field II;Konami;Konami;1989;NES;Sports;5
Dig Dug II: Trouble in Paradise;Namco;Bandai;1989;NES;Puzzle;5
Tetris;Nintendo Research & Development 1;Nintendo;1989;NES;Puzzle;15
King's Knight;Square;Square;1989;NES;Shooter;5
Adventures in the Magic Kingdom;Capcom;Capcom;1990;NES;Platformer;2
Chip 'n Dale: Rescue Rangers;Capcom;Capcom;1990;NES;Platformer;5
Destiny of an Emperor;Capcom;Capcom;1990;NES;RPG;5
Little Nemo: The Dream Master;Capcom;Capcom;1990;NES;Platformer;5
Mega Man 3;Capcom;Capcom;1990;NES;Platventure;45
Street Fighter 2010: The Final Fight;Capcom;Capcom;1990;NES;Platformer;10
Dragon Warrior II;Chunsoft;Enix;1990;NES;RPG;10
Adventures of Lolo 2;HAL Laboratory;HAL America;1990;NES;Puzzle;5
Rollerball;HAL Laboratory;HAL America;1990;NES;Puzzle;5
Vegas Dream;HAL Laboratory;HAL America;1990;NES;Sports;5
Castlevania III: Dracula's Curse;Konami;Konami;1990;NES;Platventure;50
Kings of the Beach;Konami;Ultra Games;1990;NES;Sports;5
Mission: Impossible;Konami;Ultra Games;1990;NES;Platformer;8
RollerGames;Konami;Ultra Games;1990;NES;Sports;5
Snake's Revenge;Konami;Ultra Games;1990;NES;Adventure;20
Super C;Konami;Konami;1990;NES;Shooter;25
Teenage Mutant Ninja Turtles II: The Arcade Game;Konami;Ultra Games;1990;NES;Fighting;20
Top Gun: The Second Mission;Konami;Konami;1990;NES;Shooter;5
Super Mario Bros./Duck Hunt/World Class Track Meet;Nintendo;Nintendo;1990;NES;Platformer;8
Super Spike V'Ball/Nintendo World Cup;Nintendo;Nintendo;1990;NES;Sports;10
Barker Bill's Trick Shooting;Nintendo Research & Development 1;Nintendo;1990;NES;Shooter;5
Dr. Mario;Nintendo Research & Development 1;Nintendo;1990;NES;Puzzle;15
Punch-Out!! Featuring Mr. Dream;Nintendo Research & Development 3;Nintendo;1990;NES;Fighting;25
StarTropics;Nintendo Research & Development 3;Nintendo;1990;NES;Adventure;25
Super Mario Bros. 3;Nintendo Research & Development 4;Nintendo;1990;NES;Platformer;20
Final Fantasy;Square;Nintendo;1990;NES;RPG;35
Rad Racer II;Square;Square;1990;NES;Racing;5
Disney's The Little Mermaid;Capcom;Capcom;1991;NES;Platformer;5
TaleSpin;Capcom;Capcom;1991;NES;Shooter;5
Final Fight;Capcom;Capcom;1991;SNES;Fighting;35
Super Ghouls 'n Ghosts;Capcom;Capcom;1991;SNES;Platformer;45
U.N. Squadron;Capcom;Capcom;1991;SNES;Shooter;20
Adventures of Lolo 3;HAL Laboratory;HAL America;1991;NES;Puzzle;10
Hal's Hole in One Golf;HAL Laboratory;HAL Laboratory;1991;SNES;Sports;10
HyperZone;HAL Laboratory;HAL Laboratory;1991;SNES;Shooter;8
Base Wars;Konami;Ultra Games;1991;NES;Sports;8
Laser Invasion;Konami;Konami;1991;NES;Shooter;5
The Lone Ranger;Konami;Konami;1991;NES;Adventure;10
Ski or Die;Konami;Ultra Games;1991;NES;Sports;8
Tiny Toon Adventures;Konami;Konami;1991;NES;Platformer;5
Gradius III;Konami;Konami;1991;SNES;Shooter;15
Super Castlevania IV;Konami;Konami;1991;SNES;Platventure;45
F-Zero;Nintendo;Nintendo;1991;SNES;Racing;25
Pilotwings;Nintendo;Nintendo;1991;SNES;Sports;20
SimCity;Nintendo;Nintendo;1991;SNES;Strategy;15
Super Mario World;Nintendo;Nintendo;1991;SNES;Platformer;20
NES Open Tournament Golf;Nintendo Research & Development 2;Nintendo;1991;NES;Sports;5
Final Fantasy II;Square;Square;1991;SNES;RPG;30
Disney's Darkwing Duck;Capcom;Capcom;1992;NES;Platformer;15
Gargoyle's Quest II: The Demon Darkness;Capcom;Capcom;1992;NES;Adventure;10
Mega Man 4;Capcom;Capcom;1992;NES;Platventure;45
Mega Man 5;Capcom;Capcom;1992;NES;Platventure;50
The Magical Quest Starring Mickey Mouse;Capcom;Capcom;1992;SNES;Platformer;10
Street Fighter II: The World Warrior;Capcom;Capcom;1992;SNES;Fighting;30
Super Buster Bros.;Capcom;Capcom;1992;SNES;Puzzle;10
Dragon Warrior III;Chunsoft;Enix;1992;NES;RPG;80
Dragon Warrior IV;Chunsoft;Enix;1992;NES;RPG;180
Arcana;HAL Laboratory;HAL Laboratory;1992;SNES;RPG;30
Bucky O'Hare;Konami;Konami;1992;NES;Platformer;10
Contra Force;Konami;Konami;1992;NES;Shooter;30
Monster in My Pocket;Konami;Konami;1992;NES;Platformer;10
Teenage Mutant Ninja Turtles III: The Manhattan Project;Konami;Konami;1992;NES;Fighting;35
Axelay;Konami;Konami;1992;SNES;Shooter;10
Contra III: The Alien Wars;Konami;Konami;1992;SNES;Shooter;50
The Legend of the Mystical Ninja;Konami;Konami;1992;SNES;Adventure;20
Teenage Mutant Ninja Turtles IV: Turtles in Time;Konami;Konami;1992;SNES;Fighting;50
Super Batter Up;Namco;Namco;1992;SNES;Sports;15
The Legend of Zelda: A Link to the Past;Nintendo;Nintendo;1992;SNES;Adventure;35
Mario Paint;Nintendo;Nintendo;1992;SNES;Puzzle;20
Super Mario Kart;Nintendo;Nintendo;1992;SNES;Racing;80
Super Scope 6;Nintendo;Nintendo;1992;SNES;Shooter;10
Final Fantasy Mystic Quest;Square;Square;1992;SNES;RPG;40
Mighty Final Fight;Capcom;Capcom;1993;NES;Fighting;25
Disney's Aladdin;Capcom;Capcom;1993;SNES;Platformer;20
Final Fight 2;Capcom;Capcom;1993;SNES;Fighting;20
Goof Troop;Capcom;Capcom;1993;SNES;Platformer;15
Street Fighter II Turbo: Hyper Fighting;Capcom;Capcom;1993;SNES;Fighting;25
Kirby's Adventure;HAL Laboratory;Nintendo;1993;NES;Platventure;50
Vegas Stakes;HAL Laboratory;Nintendo;1993;SNES;Sports;8
Batman Returns;Konami;Konami;1993;NES;Fighting;5
Tiny Toon Adventures 2: Trouble in Wackyland;Konami;Konami;1993;NES;Platformer;5
Zen the Intergalactic Ninja;Konami;Konami;1993;NES;Platformer;5
Batman Returns;Konami;Konami;1993;SNES;Fighting;15
Sunset Riders;Konami;Konami;1993;SNES;Shooter;10
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1993;SNES;Fighting;20
Tiny Toon Adventures: Buster Busts Loose!;Konami;Konami;1993;SNES;Platformer;10
Pac-Man;Namco;Namco;1993;NES;Puzzle;8
Metal Marines;Namco;Namco;1993;SNES;Strategy;25
Pac-Attack;Namco;Namco;1993;SNES;Puzzle;20
Star Fox;Nintendo;Nintendo;1993;SNES;Shooter;40
Super Mario All-Stars;Nintendo;Nintendo;1993;SNES;Platformer;40
Yoshi's Safari;Nintendo;Nintendo;1993;SNES;Platformer;30
Secret of Mana;Square;Square;1993;SNES;RPG;100
Mega Man 6;Capcom;Nintendo;1994;NES;Platventure;30
Breath of Fire;Capcom;Capcom;1994;SNES;RPG;40
Demon's Crest;Capcom;Capcom;1994;SNES;Platformer;20
Eye of the Beholder;Capcom;Capcom;1994;SNES;RPG;15
Final Fight Guy;Capcom;Capcom;1994;SNES;Fighting;15
The Great Circus Mystery Starring Mickey & Minnie;Capcom;Capcom;1994;SNES;Platformer;10
The King of Dragons;Capcom;Capcom;1994;SNES;Fighting;10
Knights of the Round;Capcom;Capcom;1994;SNES;Fighting;10
