Title;Developer(s);Publisher(s);Release Year;Platform;Genre;Price
Golf;Nintendo;Nintendo;1985;NES;Sports;5
Kung Fu;Nintendo;Nintendo;1985;NES;Fighting;8
Baseball;Nintendo Research & Development 1;Nintendo;1985;NES;Sports;5
Clu Clu Land;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle;20
Duck Hunt;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter;10
Excitebike;Nintendo Research & Development 1;Nintendo;1985;NES;Racing;15
Ice Climber;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer;15
Pinball;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle;5
Wrecking Crew;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer;10
Super Mario Bros.;Nintendo Research & Development 4;Nintendo;1985;NES;Platformer;5
Gradius;Konami;Konami;1986;NES;Shooter;8
Balloon Fight;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;15
Donkey Kong;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;15
Mario Bros.;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer;10
Urban Champion;Nintendo Research & Development 1;Nintendo;1986;NES;Fighting;8
Mega Man;Capcom;Capcom;1987;NES;Platventure;25
Castlevania;Konami;Konami;1987;NES;Platventure;35
Kid Icarus;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure;25
Metroid;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure;30
Mike Tyson's Punch-Out!!;Nintendo Research & Development 3;Nintendo;1987;NES;Fighting;20
The Legend of Zelda;Nintendo Research & Development 4;Nintendo;1987;NES;Adventure;35
Rad Racer;Square;Nintendo;1987;NES;Racing;10
Bionic Commando;Capcom;Capcom;1988;NES;Shooter;5
Contra;Konami;Konami;1988;NES;Shooter;25
Metal Gear;Konami;Ultra Games;1988;NES;Adventure;15
Skate or Die!;Konami;Ultra Games;1988;NES;Sports;15
Galaga: Demons of Death;Namco;Bandai;1988;NES;Shooter;10
Xevious;Namco;Bandai;1988;NES;Shooter;8
Super Mario Bros./Duck Hunt;Nintendo;Nintendo;1988;NES;Platformer;2
Super Mario Bros. 2;Nintendo Research & Development 4;Nintendo;1988;NES;Platformer;15
Zelda II: The Adventure of Link;Nintendo Research & Development 4;Nintendo;1988;NES;Adventure;20
Mega Man 2;Capcom;Capcom;1989;NES;Platventure;40
Dragon Warrior;Chunsoft;Nintendo;1989;NES;RPG;2
Gyruss;Konami;Ultra Games;1989;NES;Shooter;8
Tetris;Nintendo Research & Development 1;Nintendo;1989;NES;Puzzle;15
Mega Man 3;Capcom;Capcom;1990;NES;Platventure;45
Castlevania III: Dracula's Curse;Konami;Konami;1990;NES;Platventure;50
Super C;Konami;Konami;1990;NES;Shooter;25
Dr. Mario;Nintendo Research & Development 1;Nintendo;1990;NES;Puzzle;15
StarTropics;Nintendo Research & Development 3;Nintendo;1990;NES;Adventure;25
Super Mario Bros. 3;Nintendo Research & Development 4;Nintendo;1990;NES;Platformer;20
Final Fantasy;Square;Nintendo;1990;NES;RPG;35
Final Fight;Capcom;Capcom;1991;SNES;Fighting;35
Super Castlevania IV;Konami;Konami;1991;SNES;Platventure;45
F-Zero;Nintendo;Nintendo;1991;SNES;Racing;25
Pilotwings;Nintendo;Nintendo;1991;SNES;Sports;20
Super Mario World;Nintendo;Nintendo;1991;SNES;Platformer;20
Final Fantasy II;Square;Square;1991;SNES;RPG;30
Mega Man 4;Capcom;Capcom;1992;NES;Platventure;45
Mega Man 5;Capcom;Capcom;1992;NES;Platventure;50
Street Fighter II: The World Warrior;Capcom;Capcom;1992;SNES;Fighting;30
The Legend of Zelda: A Link to the Past;Nintendo;Nintendo;1992;SNES;Adventure;35
Super Mario Kart;Nintendo;Nintendo;1992;SNES;Racing;80
Final Fantasy Mystic Quest;Square;Square;1992;SNES;RPG;40
Kirby's Adventure;HAL Laboratory;Nintendo;1993;NES;Platventure;50
Star Fox;Nintendo;Nintendo;1993;SNES;Shooter;40
Super Mario All-Stars;Nintendo;Nintendo;1993;SNES;Platformer;40
Secret of Mana;Square;Square;1993;SNES;RPG;100
Mega Man 6;Capcom;Nintendo;1994;NES;Platventure;30
Mega Man X;Capcom;Capcom;1994;SNES;Platventure;45
Super Mario All-Stars + Super Mario World;Nintendo;Nintendo;1994;SNES;Platformer;50
Super Metroid;Nintendo;Nintendo;1994;SNES;Platventure;60
Super Punch-Out!!;Nintendo;Nintendo;1994;SNES;Fighting;35
Final Fantasy III;Square;Square;1994;SNES;RPG;50
EarthBound;HAL Laboratory;Nintendo;1995;SNES;RPG;300
Super Mario World 2: Yoshi's Island;Nintendo;Nintendo;1995;SNES;Platventure;40
Chrono Trigger;Square;Square;1995;SNES;RPG;65
Kirby Super Star;HAL Laboratory;Nintendo;1996;SNES;Platventure;65
