Title;Developer(s);Publisher(s);Release Year;Platform
Golf;Nintendo;Nintendo;1985;NES
Kung Fu;Nintendo;Nintendo;1985;NES
Baseball;Nintendo Research & Development 1;Nintendo;1985;NES
Clu Clu Land;Nintendo Research & Development 1;Nintendo;1985;NES
Duck Hunt;Nintendo Research & Development 1;Nintendo;1985;NES
Excitebike;Nintendo Research & Development 1;Nintendo;1985;NES
Gyromite;Nintendo Research & Development 1;Nintendo;1985;NES
Hogan's Alley;Nintendo Research & Development 1;Nintendo;1985;NES
Ice Climber;Nintendo Research & Development 1;Nintendo;1985;NES
Pinball;Nintendo Research & Development 1;Nintendo;1985;NES
Stack-Up;Nintendo Research & Development 1;Nintendo;1985;NES
Tennis;Nintendo Research & Development 1;Nintendo;1985;NES
Wild Gunman;Nintendo Research & Development 1;Nintendo;1985;NES
Wrecking Crew;Nintendo Research & Development 1;Nintendo;1985;NES
Super Mario Bros.;Nintendo Research & Development 4;Nintendo;1985;NES
Commando;Capcom;Capcom;1986;NES
Gradius;Konami;Konami;1986;NES
Mach Rider;Nintendo;Nintendo;1986;NES
Balloon Fight;Nintendo Research & Development 1;Nintendo;1986;NES
Donkey Kong;Nintendo Research & Development 1;Nintendo;1986;NES
Donkey Kong 3;Nintendo Research & Development 1;Nintendo;1986;NES
Donkey Kong Jr.;Nintendo Research & Development 1;Nintendo;1986;NES
Gumshoe;Nintendo Research & Development 1;Nintendo;1986;NES
Mario Bros.;Nintendo Research & Development 1;Nintendo;1986;NES
Popeye;Nintendo Research & Development 1;Nintendo;1986;NES
Urban Champion;Nintendo Research & Development 1;Nintendo;1986;NES
Donkey Kong Jr. Math;Nintendo Research & Development 2;Nintendo;1986;NES
Mega Man;Capcom;Capcom;1987;NES
Section Z;Capcom;Capcom;1987;NES
Trojan;Capcom;Capcom;1987;NES
Castlevania;Konami;Konami;1987;NES
Double Dribble;Konami;Konami;1987;NES
The Goonies II;Konami;Konami;1987;NES
Rush'n Attack;Konami;Konami;1987;NES
Stinger;Konami;Konami;1987;NES
Top Gun;Konami;Konami;1987;NES
Track & Field;Konami;Konami;1987;NES
Sky Kid;Namco;Sunsoft;1987;NES
Kid Icarus;Nintendo Research & Development 1;Nintendo;1987;NES
Metroid;Nintendo Research & Development 1;Nintendo;1987;NES
Volleyball;Nintendo Research & Development 1;Nintendo;1987;NES
Mike Tyson's Punch-Out!!;Nintendo Research & Development 3;Nintendo;1987;NES
Pro Wrestling;Nintendo Research & Development 3;Nintendo;1987;NES
The Legend of Zelda;Nintendo Research & Development 4;Nintendo;1987;NES
The 3-D Battles of WorldRunner;Square;Acclaim Entertainment;1987;NES
Rad Racer;Square;Nintendo;1987;NES
