Title;Developer(s);Publisher(s);Release Year;Platform;Genre
Golf;Nintendo;Nintendo;1985;NES;Sports
Kung Fu;Nintendo;Nintendo;1985;NES;Fighting
Baseball;Nintendo Research & Development 1;Nintendo;1985;NES;Sports
Clu Clu Land;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle
Duck Hunt;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter
Excitebike;Nintendo Research & Development 1;Nintendo;1985;NES;Racing
Gyromite;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer
Hogan's Alley;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter
Ice Climber;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer
Pinball;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle
Stack-Up;Nintendo Research & Development 1;Nintendo;1985;NES;Puzzle
Tennis;Nintendo Research & Development 1;Nintendo;1985;NES;Sports
Wild Gunman;Nintendo Research & Development 1;Nintendo;1985;NES;Shooter
Wrecking Crew;Nintendo Research & Development 1;Nintendo;1985;NES;Platformer
Super Mario Bros.;Nintendo Research & Development 4;Nintendo;1985;NES;Platformer
Commando;Capcom;Capcom;1986;NES;Shooter
Gradius;Konami;Konami;1986;NES;Shooter
Mach Rider;Nintendo;Nintendo;1986;NES;Racing
Balloon Fight;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Donkey Kong;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Donkey Kong 3;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Donkey Kong Jr.;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Gumshoe;Nintendo Research & Development 1;Nintendo;1986;NES;Shooter
Mario Bros.;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Popeye;Nintendo Research & Development 1;Nintendo;1986;NES;Platformer
Urban Champion;Nintendo Research & Development 1;Nintendo;1986;NES;Fighting
Donkey Kong Jr. Math;Nintendo Research & Development 2;Nintendo;1986;NES;Platformer
Mega Man;Capcom;Capcom;1987;NES;Platventure
Section Z;Capcom;Capcom;1987;NES;Shooter
Trojan;Capcom;Capcom;1987;NES;Adventure
Castlevania;Konami;Konami;1987;NES;Platventure
Double Dribble;Konami;Konami;1987;NES;Sports
The Goonies II;Konami;Konami;1987;NES;Platformer
Rush'n Attack;Konami;Konami;1987;NES;Fighting
Stinger;Konami;Konami;1987;NES;Shooter
Top Gun;Konami;Konami;1987;NES;Shooter
Track & Field;Konami;Konami;1987;NES;Sports
Sky Kid;Namco;Sunsoft;1987;NES;Shooter
Kid Icarus;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure
Metroid;Nintendo Research & Development 1;Nintendo;1987;NES;Platventure
Volleyball;Nintendo Research & Development 1;Nintendo;1987;NES;Sports
Mike Tyson's Punch-Out!!;Nintendo Research & Development 3;Nintendo;1987;NES;Fighting
Pro Wrestling;Nintendo Research & Development 3;Nintendo;1987;NES;Fighting
The Legend of Zelda;Nintendo Research & Development 4;Nintendo;1987;NES;Adventure
The 3-D Battles of WorldRunner;Square;Acclaim Entertainment;1987;NES;Platformer
Rad Racer;Square;Nintendo;1987;NES;Racing
1943: The Battle of Midway;Capcom;Capcom;1988;NES;Shooter
Bionic Commando;Capcom;Capcom;1988;NES;Shooter
Gun.Smoke;Capcom;Capcom;1988;NES;Shooter
