Title;Developer(s);Publisher(s);Release Year
The 3-D Battles of WorldRunner;Square;Acclaim Entertainment;1987
8 Eyes;Thinking Rabbit;Taxan;1990
10-Yard Fight;Irem;Nintendo;1985
720°;Beam Software;Mindscape;1989
1942;Micronics;Capcom;1986
1943: The Battle of Midway;Capcom;Capcom;1988
Abadox: The Deadly Inner War;Natsume;Milton Bradley Company;1990
The Addams Family;Ocean Software;Ocean Software;1992
The Addams Family: Pugsley's Scavenger Hunt;Enigma Variations;Ocean Software;1993
Advanced Dungeons & Dragons: DragonStrike;Westwood Associates;FCI;1992
Advanced Dungeons & Dragons: Heroes of the Lance;Natsume;FCI;1991
Advanced Dungeons & Dragons: Hillsfar;Crosstalk;FCI;1993
Advanced Dungeons & Dragons: Pool of Radiance;Marionette, SRS;FCI;1992
Adventure Island;Hudson Soft;Hudson Soft;1988
Adventure Island II;Now Production;Hudson Soft;1991
Adventure Island 3;Now Production;Hudson Soft;1992
Adventures in the Magic Kingdom;Capcom;Capcom;1990
The Adventures of Bayou Billy;Konami;Konami;1989
Adventures of Dino Riki;Hudson Soft;Hudson Soft;1989
The Adventures of Gilligan's Island;Human Entertainment;Bandai;1990
Adventures of Lolo;HAL Laboratory;HAL America;1989
Adventures of Lolo 2;HAL Laboratory;HAL America;1990
Adventures of Lolo 3;HAL Laboratory;HAL America;1991
The Adventures of Rad Gravity;Interplay Productions;Activision;1990
The Adventures of Rocky and Bullwinkle and Friends;Radical Entertainment;THQ;1992
Adventures of Tom Sawyer;Winkysoft;SETA;1989
Air Fortress;HAL Laboratory;HAL America;1989
Airwolf;Beam Software;Acclaim Entertainment;1989
Al Unser Jr.'s Turbo Racing;Data East;Data East;1990
Alex Demeo's Race America;Imagineering;Absolute Entertainment;1992
Alfred Chicken;Twilight;Mindscape;1994
Alien 3;Probe Software;LJN;1993
All-Pro Basketball;Aicom;Vic Tokai;1989
Alpha Mission;SNK;SNK;1987
Amagon;Aicom;American Sammy;1989
American Gladiators;Incredible Technologies;GameTek;1991
Anticipation;Rare;Nintendo;1988
Arch Rivals;Rare;Acclaim Entertainment;1990
Archon;Bullet-Proof Software;Activision;1989
Arkanoid;Taito;Taito;1987
Arkista's Ring;NMK;American Sammy;1990
Asterix;Bit Managers;Unreleased;ased
Astyanax;Aicom;Jaleco;1990
Athena;Micronics;SNK;1987
Athletic World;Human Entertainment;Bandai;1987
Attack of the Killer Tomatoes;Imagineering;THQ;1992
Aussie Rules Footy;Beam Software;Unreleased;ased
Back to the Future;Beam Software;LJN;1989
Back to the Future Part II & III;Beam Software;LJN;1990
Bad Dudes;Data East;Data East;1989
Bad News Baseball;Tecmo;Tecmo;1990
Bad Street Brawler;Beam Software;Mattel;1989
Balloon Fight;Nintendo Research & Development 1;Nintendo;1986
Banana Prince;KID;Unreleased;ased
Bandai Golf: Challenge Pebble Beach;TOSE;Bandai;1989
Bandit Kings of Ancient China;Koei;Koei;1990
Barbie;Imagineering;Hi Tech Expressions;1991
The Bard's Tale;Atelier Double;FCI;1991
Barker Bill's Trick Shooting;Nintendo Research & Development 1;Nintendo;1990
Base Wars;Konami;Ultra Games;1991
Baseball;Nintendo Research & Development 1;Nintendo;1985
Baseball Simulator 1.000;Culture Brain;Culture Brain;1990
Baseball Stars;SNK;SNK;1989
Baseball Stars 2;Pixel;Romstar;1992
Bases Loaded;TOSE;Jaleco;1988
Bases Loaded II: Second Season;TOSE;Jaleco;1990
Bases Loaded 3;TOSE;Jaleco;1991
Bases Loaded 4;TOSE;Jaleco;1993
Batman: The Video Game;Sunsoft;Sunsoft;1990
Batman: Return of the Joker;Sunsoft;Sunsoft;1991
Batman Returns;Konami;Konami;1993
Battle Chess;Beam Software;Data East;1990
The Battle of Olympus;Infinity;Brøderbund;1989
Battle Tank;Imagineering;Absolute Entertainment;1990
Battleship;Mindscape;Mindscape;1993
Battletoads;Rare;Tradewest;1991
Battletoads & Double Dragon;Rare;Tradewest;1993
Beetlejuice;Rare;LJN;1991
Best of the Best: Championship Karate;Movie Software;Electro Brain;1992
Bigfoot;Beam Software;Acclaim Entertainment;1990
Bill & Ted's Excellent Video Game Adventure;Rocket Science Productions;LJN;1991
Bill Elliott's NASCAR Challenge;Distinctive Software;Konami;1991
Bionic Commando;Capcom;Capcom;1988
The Black Bass;Another;Hot-B;1989
Blades of Steel;Konami;Konami;1988
Blaster Master;Sunsoft;Sunsoft;1988
The Blue Marlin;Hot-B;Hot-B;1992
The Blues Brothers;Titus Software;Titus Software;1992
Bo Jackson Baseball;Beam Software;Data East;1991
Bomberman;Hudson Soft;Hudson Soft;1989
Bomberman II;Hudson Soft;Hudson Soft;1993
Bonk's Adventure;AI;Hudson Soft;1994
Boulder Dash;Data East;JVC Musical Industries;1990
A Boy and His Blob: Trouble on Blobolonia;Imagineering;Absolute Entertainment;1990
Bram Stoker's Dracula;Probe Software;Sony Imagesoft;1993
Break Time: The National Pool Tour;Opera House;FCI;1993
BreakThru;Data East;Data East;1987
Bubble Bobble;Taito;Taito;1988
Bubble Bobble Part 2;OLM;Taito;1993
Bucky O'Hare;Konami;Konami;1992
The Bugs Bunny Birthday Blowout;Kemco;Kemco*Seika;1990
The Bugs Bunny Crazy Castle;Kemco;Kemco*Seika;1989
Bump 'n' Jump;Data East;Vic Tokai;1988
Burai Fighter;KID;Taxan;1990
BurgerTime;Data East;Data East;1987
Cabal;Zippo Games;Milton Bradley Company;1990
Caesars Palace;Realtime Associates;Virgin Interactive;1992
California Games;Rare;Milton Bradley Company;1989
Capcom's Gold Medal Challenge '92;Make Software;Capcom;1992
Captain America and The Avengers;Data East;Data East;1991
Captain Planet and the Planeteers;Chris Gray Enterprises;Mindscape;1991
Captain Skyhawk;Rare;Milton Bradley Company;1990
Casino Kid;SOFEL;SOFEL;1989
Casino Kid 2;SOFEL;SOFEL;1993
Castelian;Bits Studios;Triffix;1991
Castle of Dragon;Athena;SETA;1990
Castlequest;ASCII;Nexoft;1989
Castlevania;Konami;Konami;1987
Castlevania II: Simon's Quest;Konami;Konami;1988
Castlevania III: Dracula's Curse;Konami;Konami;1990
Caveman Games;Painting by Numbers;Data East;1990
Championship Bowling;Athena;Romstar;1989
Championship Pool;Bitmasters;Mindscape;1993
Championship Rally;Human Entertainment;Unreleased;ased
Chessmaster;Software Toolworks;Hi Tech Expressions;1990
