Title;Developer(s);Publisher(s);Release Year
3 Ninjas Kick Back;Malibu Interactive;Sony Imagesoft;1994
3×3 Eyes Juuma Houkan;System Supply N-Tech;Banpresto;ased
3×3 Eyes Seima Kourin-den;Nova Games;Yutaka;ased
3rd Super Robot Wars;Banpresto;Banpresto;ased
4 Nin Shougi;Planning Office Wada;Planning Office Wada;ased
4th Super Robot Wars;Banpresto;Banpresto;ased
The 7th Saga;Produce;Gameplan21;1993
90 Minutes European Prime Goal;Namco;Namco;ased
A.S.P. Air Strike Patrol;SETA;SETA;1994
AIII S.V.: Let's Take the A-Train 3 Super Version;Pack-In-Video;Artdink;ased
Aaahh!!! Real Monsters;Realtime Associates;Viacom New Media;1995
ABC Monday Night Football;Data East;Data East;1993
Accele Brid;Tomy;Tomy;ased
ACME Animation Factory;Probe Software;Sunsoft;1994
Acrobat Mission;Micronics;Techiku;ased
Action Pachio;Coconuts Japan;Coconuts Japan;ased
ActRaiser;Quintet;Enix;1991
ActRaiser 2;Quintet;Enix;1993
The Addams Family;Ocean Software;Ocean Software;1992
The Addams Family: Pugsley's Scavenger Hunt;Ocean Software;Ocean Software;1993
Addams Family Values;Ocean Software;Ocean Software;1995
The Adventures of Batman & Robin;Konami;Konami;1994
The Adventures of Dr. Franken;MotiveTime;DTMC;1993
The Adventures of Mighty Max;Ocean Software;Ocean Software;1995
The Adventures of Rocky and Bullwinkle and Friends;Imagineering;THQ;1993
The Adventures of Tintin: Prisoners of the Sun;Herge;Infogrames;ased
Adventures of Yogi Bear;Empire Software;Cybersoft;1994
Aero Fighters;Video System;Video System;1994
Aero the Acro-Bat;Iguana Entertainment;Sunsoft;1993
Aero the Acro-Bat 2;Iguana Entertainment;Sunsoft;1994
Aerobiz;Koei;Koei;1993
Aerobiz Supersonic;Koei;Koei;1994
Aim for the Ace!;Nippon Telenet;Nippon Telenet;ased
Air Cavalry;Synergistic Software;Cybersoft;1995
Al Unser Jr.'s Road to the Top;Radical Entertainment;Mindscape;1994
Albert Odyssey;Sunsoft;Sunsoft;ased
Albert Odyssey 2;Sunsoft;Sunsoft;ased
Alcahest;HAL Laboratory;Square;ased
Alice's Paint Adventure;Pop House;Epoch Co.;ased
Alien 3;Probe Entertainment;LJN;1993
Alien vs Predator;Jorudan;Activision;1993
Ama;Agenda;Epoch Co.;ased
America Oudan Ultra Quiz;Genki;Tomy;ased
American Battle Dome;Betop;Tsukuda Original;ased
American Gladiators;Imagitec Design;GameTek;1993
An American Tail: Fievel Goes West;Shimada Kikaku;Hudson Soft;1994
Ancient Magic: Bazoo! Mahou Sekai;Hot-B;Hot-B;ased
Andre Agassi Tennis;Radiance Software;TecMagik;1994
Angelique;Ruby Party;Koei;ased
Angelique Voice Fantasy;Ruby Party;Koei;ased
Animaniacs;Konami;Konami;1994
Appleseed: Oracle of Prometheus;Visit;Visit;ased
Arabian Nights: Spirit of the Desert King;Pandora Box;Takara;ased
Araiguma Rascal;J-Force;Masaya;ased
Arcade's Greatest Hits: The Atari Collection 1;Digital Eclipse Software;Midway Games;1997
Arcana;HAL Laboratory;HAL Laboratory;1992
Archer Maclean's Super Dropzone;Eurocom;Psygnosis;lled
Arcus Spirits;Wolf Team;Sammy Studios;lled
Ardy Lightfoot;ASCII Entertainment;ASCII Entertainment;1994
Aretha the Super Famicom;Japan Art Media;Yanoman;ased
Aretha II: Ariel no Fushigi na Tabi;Japan Art Media;Yanoman;ased
Arkanoid: Doh It Again;Taito;Taito;1997
Kikou Keisatsu Metal Jack;Atlus;Atlus;lled
Art of Fighting;Monolith Corporation;Takara;1993
Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu;Varie;Varie;ased
Asameshimae Nyanko;J-Force;Zamuse;ased
Ashita no Joe;Wave Corp;K Amusement Leasing;ased
Asterix;Infogrames;Infogrames;lled
Asterix & Obelix;Infogrames;Infogrames;ased
The Atlas;Artdink;Pack-In-Video;ased
Axelay;Konami;Konami;1992
B.O.B.;Gray Matter;Electronic Arts;1993
Bahamut Lagoon;Square;Square;ased
Bakukyuu Renpatsu!! Super B-Daman;Amble;Hudson Soft;ased
Bakumatsu Kourinden Oni;Pandora Box;Banpresto;ased
